,,,,,
State,YEAR,Harvested Acres,Planted Acres,Harvested Yield (bu/acre),Planted Yield (bu/acre)
IA,1951,9680000,10192262.77,43.5,41.3
IA,1952,10449000,10618390.01,62.5,61.5
IA,1953,10811000,10985386.77,53,52.2
IA,1954,10014000,10240376.44,54.5,53.3
IA,1955,10293000,10470432.08,48.5,47.7
IA,1956,9413000,10180662.14,53.5,49.5
IA,1957,9860000,10020341.1,62,61
IA,1958,9782000,9890309.426,66,65.3
IA,1959,12139000,12255139.33,65,64.4
IA,1960,12166000,12313867.58,63.5,62.7
IA,1961,9976000,10076295.56,75.5,74.7
IA,1962,9677000,9773278.977,77,76.2
IA,1963,10645000,10728675.01,80,79.4
IA,1964,9738000,9812503.58,77.5,76.9
IA,1965,9933000,9997952.784,82,81.5
IA,1966,10132000,10193105.16,89,88.5
IA,1967,11145000,11610527.69,88.5,85
IA,1968,9775000,9828197.279,93,92.5
IA,1969,9549000,9889731.49,99,95.6
IA,1970,10077000,10142985.97,86,85.4
IA,1971,11550000,11581305.95,102,101.7
IA,1972,10600000,10652053.57,116,115.4
IA,1973,11280000,11336826.2,107,106.5
IA,1974,12100000,12267281.11,80,78.9
IA,1975,12420000,12494875.66,90,89.5
IA,1976,12900000,12974405.19,91,90.5
IA,1977,12700000,12910497.24,86,84.6
IA,1978,12850000,12935603.26,115,114.2
IA,1979,13100000,13147810.22,127,126.5
IA,1980,13300000,13357245.34,110,109.5
IA,1981,13850000,13917655.27,125,124.4
IA,1982,13150000,13226956.84,120,119.3
IA,1983,8550000,8578280.044,87,86.7
IA,1984,12900000,13001880.41,112,111.1
IA,1985,13550000,13598916.97,126,125.5
IA,1986,12050000,12099183.67,135,134.5
IA,1987,10150000,10179363.55,130,129.6
IA,1988,10700000,10747555.56,84,83.6
IA,1989,12250000,12259729.94,118,117.9
IA,1990,12400000,12497637.8,126,125
IA,1991,12200000,12248995.98,117,116.5
IA,1992,12950000,12969650.99,147,146.8
IA,1993,11000000,11578947.37,80,76
IA,1994,12600000,12629370.63,152,151.6
IA,1995,11600000,11648945.15,123,122.5
IA,1996,12400000,12449011.86,138,137.5
IA,1997,11900000,11939144.74,138,137.5
IA,1998,12200000,12248995.98,145,144.4
IA,1999,11800000,11829328.91,149,148.6
IA,2000,12000000,12048979.59,144,143.4
IA,2001,11400000,11468615.65,146,145.1
IA,2002,11850000,11928217.82,163,161.9
IA,2003,11900000,11968111.2,157,156.1
IA,2004,12400000,12468725.26,181,180
IA,2005,12500000,12568735.27,173,172.1
IA,2006,12350000,12379474.94,166,165.6
IA,2007,13900000,13949116.61,171,170.4
IA,2008,12800000,13095384.62,171,167.1
IA,2009,13300000,13378698.22,181,179.9
IA,2010,13050000,13158013.54,165,163.6
IA,2011,13700000,13897122.3,172,169.6
IA,2012,13700000,13821669.63,137,135.8
IA,2013,13050000,13205357.14,164,162.1
IA,2014,13300000,13387950.04,178,176.8
IA,2015,13050000,13157206.87,192,190.4